advisor_id,weight,keyphrase
72,0.8325316150753129,human oasl protein
85,0.832491820053509,intestinal microbiota signatures
54,0.8324514095018385,chip accesses
16,0.8324216322953194,tagging system
68,0.8323690770988046,differential gene expression
89,0.8322495239449708,clutter identification
110,0.832165375092967,phillips auctioneers
18,0.832158879459491,neonatal mri
117,0.8321464963281628,gait
46,0.8321140183478339,association graph data
65,0.832099684461542,augmentation therapy
37,0.832041669235391,dynamic access control policies
65,0.8320335408217557,synoptic reports
78,0.8320278640402227,single metallofullerene
69,0.832008004564492,causal network discovery
80,0.8319575419266722,safer design
6,0.8319180574975674,virtual patient simulations
145,0.831819860198588,pancreatic metastases
111,0.8318028774173865,lymphoma patient cells
2,0.8317783761592155,casual users
76,0.8317704645614313,regression tree
150,0.8316702616358296,new venture legitimacy
40,0.8316572830600856,replevin process
89,0.8316546616922097,kronecker product
70,0.83162748084293,prevent study
8,0.8316137828148488,logical operations
57,0.8315873395426422,chain technology
67,0.8315837878648786,review medication mishaps
120,0.8315731683573521,amorphous phase
8,0.8315718864611708,part two
14,0.8315659101100249,rotary kiln
115,0.8315481591492848,novel formulation
173,0.8315424555484652,high capacity anode material
67,0.8315294475029971,systematic evaluation
29,0.8315244119614333,cellular networks
137,0.8314866103212551,system great power rivalry
18,0.831471960811178,cardiac function
47,0.8314557624403731,level spatial dynamics
6,0.8314479835319661,sweet spot
16,0.8314248227581589,online communities
1,0.8314212051866322,pilot study
61,0.8313996106447785,information crowdsourcing
8,0.8313464273160109,rf beacon deployment
69,0.8313333409485195,binary classifier calibration
142,0.8313000298970139,single ccd
105,0.8312958048270382,endogenous protein levels
50,0.8312483987374732,precedence constraints
74,0.8312286156922936,facebase hub
16,0.8312227503723539,information seeking
155,0.8311904693238639,Adaptive design
179,0.8311720433467633,spatial interdependence
104,0.8311720377931979,video surveillance
47,0.8311554624597474,point line
169,0.8311356737593957,lipoprotein lipase deletion
36,0.8311198661077184,overlap dynamics
145,0.8311141180810524,prostate cancer
104,0.8311132057997295,pension politics
66,0.831107858213519,il-10-deficient mice
102,0.8309520020714549,3d neuron tracing
57,0.8309146054125685,interconnectedness industry structure determinants
95,0.8308973466917065,cmos sources
116,0.8308898975982091,rare event simulation
25,0.8308893042027061,strategic plan
121,0.8308834072342874,initiation stresses
126,0.8308660264112881,interaction errors
90,0.8308502478783045,mouse hypothalamic circuit node
17,0.8308491471377077,blockchain governance
117,0.830840073125073,basic drawing tasks
154,0.8308092074286082,water emulsion
137,0.8307857276498594,influential members
69,0.8307842749233737,near isotonic regression models
89,0.8307635590273178,circular antenna array
9153,0.8307587423426166,career paths
137,0.8306712854149894,Social Interaction
18,0.8306568914484389,bayesian networks
152,0.830648270586698,cortical visuospatial working memory network
143,0.8306447665157553,microsecond molecular dynamics simulations
174,0.8306291951735775,french greens
74,0.8306152790435696,us policymakers
36,0.8306026973757473,classroom discussions
117,0.830594005010274,Robot-mediated rehabilitation
121,0.8305784714696417,embedded systems
18,0.8305539663612207,adaptive method
174,0.8304758341452743,kyoto protocol targets
18,0.830469149568114,free high
67,0.8304634552678444,Aged
88,0.8304558502885497,wireless sensor networks
2,0.8304327801146467,future citations
71,0.830399576638186,clinical audit
44,0.8303577403312947,models of learning
8,0.8303451505002405,Internet of Things
69,0.8302895648938401,causal models
143,0.8302892290956635,cation permeation
175,0.8302484382966934,long run
116,0.8302138652150234,large srams
25,0.8301983242819131,transport demand modeling
70,0.830185201920923,acquired severe sepsis
71,0.8301432392556449,feedback message
75,0.8300650865051585,engineering phase
75,0.8300440795008179,electrochemical impedance spectroscopy
101,0.8300282969928859,physical systems
68,0.8300059993976822,identifier mapping performance
140,0.8299933862840555,optimal balance
93,0.8299758538287079,molecular design strategy
117,0.8299732221175168,consecutive swallows
94,0.8299630968668946,southeast china
86,0.8299617012159854,den kapitalistiska
95,0.8299207693906152,mitochondrial nad
63,0.8298952058965774,dynamic spectrum sharing wireless networks
61,0.8298869991334434,reliability assessment
55,0.8298056294330504,network design
154,0.8298050963639502,lepton final state
2,0.8297975636827132,online social networks
2,0.8297753072599526,energy recommender system
141,0.8297630568434096,economic behavior
71,0.8297630071477071,feedback message
90,0.8297488091965536,breast cancer cells
164,0.8296530080673792,new pathways
114,0.8296296982881481,biological networks
121,0.829587052999583,new integral transform operator
174,0.8295750996624635,small party survival
69,0.8295621906999834,unknown causes
89,0.8295616736569659,eeg covariance estimator
54,0.8295220749754812,aware computation
177,0.8295121223290471,former east germany
116,0.8294997109023723,monte carlo methods
126,0.829497041530111,catalytic hydrogenation
154,0.8294657017048233,protective effects
41,0.8294490651435958,reinforcement learning
19,0.8294225132448627,clinical time series prediction
36,0.8294084147549033,human tutorial dialogue
16,0.8294017133884058,local online review systems
148,0.8293974762793838,adaptive membrane proteins
1,0.8293969452235921,user behavior
67,0.8293871953641615,pharmacogenomic decision support
36,0.8293737312252459,argument component classification
99,0.8293713730469306,wearable sensor arrays
94,0.8293562446415844,optical network
168,0.8293476974666579,biodiversity impacts
40,0.8293461367925936,visual vocabulary
138,0.8293046076920625,nadph oxidase
89,0.8292437273649531,computer interface
26,0.8292045089147914,database cost model
55,0.8291997463030718,high availability subnetwork
93,0.8291344673506019,energy storage applications
138,0.829122689360926,virtual screening
135,0.8290865170867138,genomic features
28,0.8290754562952748,language learning
89,0.8290747149122525,wavelet decomposition
129,0.8290721847781781,enantiopure thin films
9153,0.8290613542338449,web transactions
92,0.8290414785721125,metallurgical aspects
135,0.8289838857805499,markov chain significance test
67,0.8289481219643651,steroidal anti
61,0.8289431336030748,unattended wireless sensor networks
94,0.8289392457376142,si substrates
64,0.8288997383604958,tuberculosis type classification
152,0.8288858831700147,consistent community detection
38,0.8287741117258501,human performance
90,0.8287675695074589,p739 novel rapid test
41,0.8287398042869197,partial redundancy
133,0.8287184707769205,whole transcriptome study
93,0.8287119279239388,ion batteries
126,0.8286916643073543,nanoparticle size effects
61,0.8286844305903337,col fusion
168,0.8286773473725136,power law species
122,0.828662204545482,ultrafast photocurrent measurements
70,0.8286616597650328,emergency care
25,0.8286551346862036,large remote
78,0.8286110543306215,dna translocation
38,0.8285792160161297,issue negotiation
154,0.8285734940056794,liver cancer
62,0.8285618973775464,raid systems
139,0.8285572452623534,research development
13,0.8285409766808749,analysis session logs
145,0.8285156213213927,mri qualitative
69,0.8284987098803004,bayesian system
65,0.8284978314952584,disease loci associations
111,0.8284956350145869,cuo nanostructures
118,0.8284214122728885,demux ic
26,0.8283766018662495,replicated elusive server scheme
173,0.8283402285864412,white light emitting diodes
65,0.8283168589834763,biomedical informatics
36,0.8283030447872519,argumentative writing revisions
63,0.8283002078281311,spectrum sharing
173,0.8282952201913351,blue led excitation
85,0.8282939389235814,nitrogen availability
95,0.8282414520720828,rock phosphate
122,0.8282280943198816,change materials
35,0.8281929194221952,data model
16,0.8281662619385167,annual hawaii international conference
24,0.8281531920527782,residential privacy
134,0.82814565040733,fuzzy expert system
35,0.8281121199543233,discriminant tensor factorization
50,0.8281112841344854,stochastic scheduling
67,0.8280965526221598,mobile decision support system versus
49,0.8280961041123226,little systems poster
